REFERENCIA;REFERENCIAS ALTERNAS;NOMBRE;DESCRIPCION;MARCA;LINEA;SUB-LINEA;CLASIFICACION;INVENTARIO;PRECIO LISTA
GX8870699;0;HINO TORNILLO CON LUBRICACION INTERNA EJE CORREDIZO PARTE TRASER;HINO TORNILLO CON LUBRICACION INTERNA EJE CORREDIZO PARTE TRASER;FULLER;FULLER;FULLER;TRANSMISION;10,00;$ 7.166,00
15061;0;EMPAQUE CARCASA MONO RT6610;EMPAQUE CARCASA MONO RT6610;FULLER;FULLER;FULLER;TRANSMISION;8,00;$ 9.063,00
X8871539;0;HINO PIN TREN FIJO PARTE DELANTERA DIAM 40X1.82MM;HINO PIN TREN FIJO PARTE DELANTERA DIAM 40X1.82MM;FULLER;FULLER;FULLER;TRANSMISION;9,00;$ 7.061,00
GMX91602;0;HINO TUERCA EMPAQUETADURA MONO FS 6109A;HINO TUERCA EMPAQUETADURA MONO FS 6109A;FULLER;FULLER;FULLER;TRANSMISION;17,00;$ 3.662,00
8876298;0;HINO RESTRICTOR PUNTA CORREDIZO;HINO RESTRICTOR PUNTA CORREDIZO;FULLER;FULLER;FULLER;TRANSMISION;13,00;$ 4.475,00
X8871537;0;HINO PIN TREN FIJO PARTE DELANTERA DIAM 40X1,92MM;HINO PIN TREN FIJO PARTE DELANTERA DIAM 40X1,92MM;FULLER;FULLER;FULLER;TRANSMISION;10,00;$ 7.061,00
X8871538;0;HINO PIN TREN FIJO PARTE DELANTERA DIAM 40X1.87MM;HINO PIN TREN FIJO PARTE DELANTERA DIAM 40X1.87MM;FULLER;FULLER;FULLER;TRANSMISION;10,00;$ 7.061,00
22-1969-3QC/7W8065;0;ASIENTO ADMISION CATERPILLAR 3116;ASIENTO ADMISION CATERPILLAR 3116;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;5,00;$ 7.426,00
8872479;0;HINO ESPACIADOR RODILLO PIÑON LOCO REVERSO;HINO ESPACIADOR RODILLO PIÑON LOCO REVERSO;FULLER;FULLER;FULLER;TRANSMISION;9,00;$ 7.377,00
3600329C1;0;RELAY GENERADOR CONTROL 4 PATAS PROSTAR;RELAY GENERADOR CONTROL 4 PATAS PROSTAR;INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;2,00;$ 25.608,00
ZF0301009;0;EMPAQUE PAPEL PTO 16S;EMPAQUE PAPEL PTO 16S;ZF;ZF;ZF;TRANSMISION;6,00;$ 8.170,00
122-1463SBI/4356366;0;GORRO (SELLO) VALVULAS ADMISION Y ESCAPE CUMMINS ISX TIPO NUEVO CON CAPUCHON (USA 24 UND X MOTOR) PRECIO POR UNIDAD (SIN CAPUCHON 4026791);GORRO (SELLO) VALVULAS ADMISION Y ESCAPE CUMMINS ISX TIPO NUEVO CON CAPUCHON (USA 24 UND X MOTOR) PRECIO POR UNIDAD (SIN CAPUCHON 4026791);SBI;REPARACION CULATA;SBI;MOTOR;4,00;$ 15.034,00
X8875292;0;HINO ORING PISTON MONO;HINO ORING PISTON MONO;FULLER;FULLER;FULLER;TRANSMISION;15,00;$ 3.489,00
30087000/MHS54MANS;0;ENGRASADOR BUJE CENTRAL (DEL KIT 30437);ENGRASADOR BUJE CENTRAL (DEL KIT 30437);MANSONS;MANSONS;MANSONS;SUSPENSION;15,00;$ 2.635,00
30-8188SAPQC/1824647C1;0;GUIA VALVULA ADMISION Y ESCAPE LARGA DT466 MY ELECTRONICO MOD 2000 EN ADELANTE;GUIA VALVULA ADMISION Y ESCAPE LARGA DT466 MY ELECTRONICO MOD 2000 EN ADELANTE;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;4,00;$ 9.168,00
X7809;0;TORNILO AJUSTE HORQUILLA MONO 16918;TORNILO AJUSTE HORQUILLA MONO 16918;FULLER;FULLER;FULLER;TRANSMISION;21,00;$ 2.213,00
41X1364;0;TORNILLO TAPA CILINDRO DIF RS S-180;TORNILLO TAPA CILINDRO DIF RS S-180;MERITOR;MERITOR;MERITOR;DIFERENCIAL;14,00;$ 3.998,00
92;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;1,00;#N/D
1229F4062;0;ARANDELA BOMBA PRESION DIFERENCIAL;ARANDELA BOMBA PRESION DIFERENCIAL;MERITOR;MERITOR;MERITOR;DIFERENCIAL;13,00;$ 5.405,00
682444C1/421270PAI;0;ORING O CAUCHO EJE DE LEVAS PARTE TRASERA MOTOR INTERNATIONAL DT466-DT360 DT530 (UNIDAD) COLOR VERDE;ORING O CAUCHO EJE DE LEVAS PARTE TRASERA MOTOR INTERNATIONAL DT466-DT360 DT530 (UNIDAD) COLOR VERDE;PAI;PAI;PAI;MOTOR;3,00;$ 12.311,00
4687PAI;#N/D;0;#N/D;PAI;PAI;PAI;MOTOR;4,00;#N/D
3347939;0;SELLO DE INYECTOR COLOR NEGRO PARA CUMMINS ISX / X15;SELLO DE INYECTOR COLOR NEGRO PARA CUMMINS ISX / X15;CUMMINS;CUMMINS;CUMMINS;MOTOR;2,00;$ 17.293,00
2258Z1118;0;RESORTE PRESION BOMBA;RESORTE PRESION BOMBA;MERITOR;MERITOR;MERITOR;DIFERENCIAL;14,00;$ 2.267,00
22-1722-1QC/3904105;0;ASIENTO DE ESCAPE CUMMINS 4BT/6BT STD (USA 4 UND X MOTOR PARA 4BT) Y (USA 6 UND X MOTOR PARA 6BT) PRECIO POR UND;ASIENTO DE ESCAPE CUMMINS 4BT/6BT STD (USA 4 UND X MOTOR PARA 4BT) Y (USA 6 UND X MOTOR PARA 6BT) PRECIO POR UND;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;6,00;$ 6.429,00
3315664;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;16,00;#N/D
1229D4632;0;ARANDELA PORTA CORONA S-145;ARANDELA PORTA CORONA S-145;MERITOR;MERITOR;MERITOR;DIFERENCIAL;70,00;$ 1.314,00
2258N1262;0;RESORTE PASADOR ANTIPATINAJE 46160;RESORTE PASADOR ANTIPATINAJE 46160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;15,00;$ 11.452,00
34-00250QC/3900250;1W2715;CUÑA VALVULAS ADMISION Y ESCAPE CUMMINS ISC;CUÑA VALVULAS ADMISION Y ESCAPE CUMMINS ISC;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;43,00;$ 964,00
64632/10.179MANS;0;ARANDELA EXCENTRICA PRIMAAX;ARANDELA EXCENTRICA PRIMAAX;MANSONS;MANSONS;MANSONS;SUSPENSION;1,00;$ 30.435,00
2203Q9169/27288;#N/D;SHIM PORTA SPEED 230-127MM;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;4,00;#N/D
3016760/171780 PAI;#N/D;0;#N/D;PAI;PAI;PAI;MOTOR;1,00;#N/D
X8870378;0;HINO PIN REVERZA GRAN PRIMERA CORREDIZO;HINO PIN REVERZA GRAN PRIMERA CORREDIZO;FULLER;FULLER;FULLER;TRANSMISION;5,00;$ 8.959,00
43X1006;0;PIN PASADOR HORQUI ANTI PA S-180;PIN PASADOR HORQUI ANTI PA S-180;MERITOR;MERITOR;MERITOR;DIFERENCIAL;60,00;$ 2.809,00
2203E9053;28454;SHIM PORTA SPEED .127 MM 23-240;SHIM PORTA SPEED .127 MM 23-240;MERITOR;MERITOR;MERITOR;DIFERENCIAL;3,00;$ 0,00
10J12;0;BALIN PASADOR 3RA 4TA FSO4305/4405C;BALIN PASADOR 3RA 4TA FSO4305/4405C;FULLER;FULLER;FULLER;TRANSMISION;50,00;$ 1.053,00
X8877706;0;HINO PIN EJE DE TOMA ES 11109/FS 6109A;HINO PIN EJE DE TOMA ES 11109/FS 6109A;FULLER;FULLER;FULLER;TRANSMISION;11,00;$ 5.374,00
ZF0112047;0;RETEN EMBOLO PEQUEÑO QUE VA EN EL PASADOR DE LA HORQUILLA DEL MONO/RANGO 9S;RETEN EMBOLO PEQUEÑO QUE VA EN EL PASADOR DE LA HORQUILLA DEL MONO/RANGO 9S;ZF;ZF;ZF;TRANSMISION;2,00;$ 20.147,00
5X1153;0;ORING CILINDRO ANTI DIF RS S-180;ORING CILINDRO ANTI DIF RS S-180;MERITOR;MERITOR;MERITOR;DIFERENCIAL;20,00;$ 3.457,00
2208L1000;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;6,00;#N/D
27274/EE30960EXC;27274;ARANDELA PLANETARIO DS 46 PLANA;ARANDELA PLANETARIO DS 46 PLANA;EXCEL;PAI;PAI;MOTOR;2,00;$ 18.557,00
3364131;0;CANASTILLA PIÑON LOCO TREN FIJO ESBO6206;CANASTILLA PIÑON LOCO TREN FIJO ESBO6206;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 19.601,00
131541;0;PIN BOMBA DE ACEITE 46170;PIN BOMBA DE ACEITE 46170;SPICER;DANA;DANA;DIFERENCIAL;8,00;$ 5.367,00
131374N;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;2,00;#N/D
17109;0;VARILLA LARGA CORREDIZO 14715 EXAGONAL;VARILLA LARGA CORREDIZO 14715 EXAGONAL;FULLER;FULLER;FULLER;TRANSMISION;4,00;$ 0,00
15980;0;PIN DE OJOS PIÑON 4TA CDIZO CAJA 6610;PIN DE OJOS PIÑON 4TA CDIZO CAJA 6610;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 15.237,00
S2269;0;TAPA CAJA RTLOF16918 HUECO AL CENTRO;TAPA CAJA RTLOF16918 HUECO AL CENTRO;FULLER;FULLER;FULLER;TRANSMISION;1,00;$ 801.656,00
93600174;0;ARANDELA SUSPENSION SRK-643;ARANDELA SUSPENSION SRK-643;NEWAY;NEWAY;NEWAY;SUSPENSION;8,00;$ 3.158,00
73350/220060PAI;0;ANILLOS (JUEGO) DE COMRESOR CUM BIG CAM 350/N14/L10 STD;ANILLOS (JUEGO) DE COMRESOR CUM BIG CAM 350/N14/L10 STD;PAI;PAI;PAI;MOTOR;1,00;$ 32.208,00
139988;0;SELLO DE ANILLO RECTANGULAR BOMBA DE ENGRANAJES ISX;SELLO DE ANILLO RECTANGULAR BOMBA DE ENGRANAJES ISX;CUMMINS;CUMMINS;CUMMINS;MOTOR;1,00;$ 0,00
214950;0;CASQUETE DE BIELA STD NH855 Y N14 (UNIDAD);CASQUETE DE BIELA STD NH855 Y N14 (UNIDAD);CUMMINS;CUMMINS;CUMMINS;MOTOR;1,00;$ 26.324,00
21096684/821009PAI;#N/D;0;#N/D;PAI;PAI;PAI;MOTOR;4,00;#N/D
1229K3001TAS;0;ARANDELA SATELITE ESCUALIZACION 46-160;ARANDELA SATELITE ESCUALIZACION 46-160;TAS;TAS;TAS;TRANSMISION/DIFER;8,00;$ 3.688,00
122-1365SBI/3957912;EOS-9140ELG/3957912 38-6114-55QC/3957912;GORRO (SELLO) DE VALVULA ADMISION Y ESCAPE CUMMINS 4BT/6BT MOTORES VIEJOS CON CAPUCHON COLOR AZUL (USA 8 UND POR MOTOR PARA 4BT Y USA 12 UND X MOTOR PARA 6BT) (PRECIO POR UND);GORRO (SELLO) DE VALVULA ADMISION Y ESCAPE CUMMINS 4BT/6BT MOTORES VIEJOS CON CAPUCHON COLOR AZUL (USA 8 UND POR MOTOR PARA 4BT Y USA 12 UND X MOTOR PARA 6BT) (PRECIO POR UND);SBI;REPARACION CULATA;SBI;MOTOR;4,00;$ 7.061,00
230C22/9703PAI;#N/D;RESORTE PRENSA;#N/D;PAI;PAI;PAI;MOTOR;26,00;#N/D
122-1374SBI/4003966;4003966;GORRO (SELLO) VALVULA ADMISION Y ESCAPE CUMMINS ISM;GORRO (SELLO) VALVULA ADMISION Y ESCAPE CUMMINS ISM;SBI;REPARACION CULATA;SBI;MOTOR;7,00;$ 3.912,00
3364108;0;PIN PIÑON 2DA CORRE;PIN PIÑON 2DA CORRE;FULLER;FULLER;FULLER;TRANSMISION;5,00;$ 8.009,00
19860/SPR008MANS;0;RESORTE FRENO PEQUEÑO NARANJA;RESORTE FRENO PEQUEÑO NARANJA;MANSONS;MANSONS;MANSONS;SUSPENSION;20,00;$ 1.370,00
X8881546;0;HINO CODO ADAPTADOR AIRE 90 GRADOS;HINO CODO ADAPTADOR AIRE 90 GRADOS;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 26.557,00
K147-107/540.035MANS;0;GANCHO CAPOT KW DE BOLA;GANCHO CAPOT KW DE BOLA;MANSONS;MANSONS;MANSONS;SUSPENSION;2,00;$ 11.486,00
2203F9054;28455;SHIM PORTA SPEED .254 MM 23-240;SHIM PORTA SPEED .254 MM 23-240;MERITOR;MERITOR;MERITOR;DIFERENCIAL;2,00;$ 0,00
R810300;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1,00;#N/D
126242;0;ARANDELA SPEED TUERCA DIVISOR 46MLBS;ARANDELA SPEED TUERCA DIVISOR 46MLBS;SPICER;DANA;DANA;DIFERENCIAL;10,00;$ 8.371,00
3341206;0;PIN PIÑON 2DA CORREDIZO FSO 4305C;PIN PIÑON 2DA CORREDIZO FSO 4305C;FULLER;FULLER;FULLER;TRANSMISION;8,00;$ 3.235,00
41X1331;0;TUERCA CORONA MS120-124;TUERCA CORONA MS120-124;MERITOR;MERITOR;MERITOR;DIFERENCIAL;5,00;$ 9.834,00
K3399PM;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;1,00;#N/D
78909;0;PIN REDONDO PIÑON PIÑA 44 Y 46 LBS;PIN REDONDO PIÑON PIÑA 44 Y 46 LBS;SPICER;DANA;DANA;DIFERENCIAL;14,00;$ 2.417,00
X8875532;0;HINO ANILLO SELLO ROD TRASER CORRE;HINO ANILLO SELLO ROD TRASER CORRE;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 42.048,00
R008988;0;PERNO DELANTERO;PERNO DELANTERO;MERITOR;MERITOR;MERITOR;DIFERENCIAL;3,00;$ 14.156,00
2208H944/73067;#N/D;ARANDELA DE BRONCE ANTIPAT AJUSTE TAPA;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;4,00;#N/D
129859;0;RESORTE HORQUILLA TRABA 46-170;RESORTE HORQUILLA TRABA 46-170;SPICER;DANA;DANA;DIFERENCIAL;9,00;$ 4.508,00
3052586;0;ORING CONECTOR FRENO DE MOTOR ISX - USA 2 EN ARNES 4955946;ORING CONECTOR FRENO DE MOTOR ISX - USA 2 EN ARNES 4955946;NACIONAL;NACIONAL;NACIONAL;VARIOS;1,00;$ 19.835,00
240329;0;EMPAQUE TAPA PORTARETENE TRASERO FS4205A;EMPAQUE TAPA PORTARETENE TRASERO FS4205A;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 15.492,00
4303939;0;RESORTE TAPAS HORQUILLAS FS4205A;RESORTE TAPAS HORQUILLAS FS4205A;FULLER;FULLER;FULLER;TRANSMISION;20,00;$ 2.423,00
MS210020-1;82057;TORNILLO TAPA SPEED DELANTERO 46160;TORNILLO TAPA SPEED DELANTERO 46160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;45,00;$ 2.703,00
3315683;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;17,00;#N/D
8875879;0;HINO ESPACIADOR (2.5/2.3MM) RODILLOS TORRE TREN FIJO ES 11109/FS 6109A;HINO ESPACIADOR (2.5/2.3MM) RODILLOS TORRE TREN FIJO ES 11109/FS 6109A;FULLER;FULLER;FULLER;TRANSMISION;3,00;$ 9.183,00
2203F2788;29327;"SEPARADOR SPEED DELANTERO S145 DE 0,0762 MM (0,003"")";"SEPARADOR SPEED DELANTERO S145 DE 0,0762 MM (0,003"")";MERITOR;MERITOR;MERITOR;DIFERENCIAL;64,00;$ 814,00
FDM-SE995/OGB-PLKMANS;0;"BUJE BIMETALICO LARGO 4"", DIAMETRO EXTERNO 1-3/8"", DIAMETRO INTERNO 1-1/8"" / FREIGHTLINER";"BUJE BIMETALICO LARGO 4"", DIAMETRO EXTERNO 1-3/8"", DIAMETRO INTERNO 1-1/8"" / FREIGHTLINER";MANSONS;MANSONS;MANSONS;SUSPENSION;2,00;$ 10.645,00
X8881475;0;HINO O-RING GRANDE CARZAZA MONO;HINO O-RING GRANDE CARZAZA MONO;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 14.121,00
3315681;0;SHIM TAPA TRASERA;SHIM TAPA TRASERA;FULLER;FULLER;FULLER;TRANSMISION;15,00;ARME
1524884;0;PLACA ESPACIADORA SATELITE DIVISOR MD150;PLACA ESPACIADORA SATELITE DIVISOR MD150;MERITOR;MERITOR;MERITOR;DIFERENCIAL;4,00;$ 5.510,00
3315684;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;15,00;#N/D
21456;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;5,00;#N/D
X81013M;0;TORNILLO ACTUADOR 11210C;TORNILLO ACTUADOR 11210C;FULLER;FULLER;FULLER;TRANSMISION;12,00;$ 3.161,00
EOS-1374ELG/4003966;4003966;GORRO (SELLO) DE VALVULA ADMISION Y ESCAPE CUMMINS SOLO ISM SIN CAPUCHON BAJITO COLOR AZUL;GORRO (SELLO) DE VALVULA ADMISION Y ESCAPE CUMMINS SOLO ISM SIN CAPUCHON BAJITO COLOR AZUL;ELGIN;REPARACION CULATA;ELGIN;MOTOR;5,00;$ 3.793,00
6005 KOYO;0;BALINERA FAN CLUTCH;BALINERA FAN CLUTCH;KOYO;NACIONAL;NACIONAL;VARIOS;1,00;$ 22.131,00
4298975;0;TUERCAS DEL ESPARRAGO DEL TURBO CUMMINS ISX X15;TUERCAS DEL ESPARRAGO DEL TURBO CUMMINS ISX X15;CUMMINS;CUMMINS;CUMMINS;MOTOR;14,00;$ 5.417,00
2203R9170/27289;#N/D;SHIM PORTA SPEED 230-254MM;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;2,00;#N/D
277C547;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;19,00;#N/D
40X1234;0;TUERCA DEL TORNILLO PORTA CORONA MS120/124;TUERCA DEL TORNILLO PORTA CORONA MS120/124;MERITOR;MERITOR;MERITOR;DIFERENCIAL;14,00;$ 3.566,00
85W140-1L;#N/D;ACEITE PARTA DIFERENCIAL 1L;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1,00;#N/D
3344699;0;ALAMBRE SINCRO 1RA Y 2DA;ALAMBRE SINCRO 1RA Y 2DA;FULLER;FULLER;FULLER;TRANSMISION;1,00;$ 15.843,00
4301348;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;10,00;#N/D
30-8591QC/23518571;0;GUIA VALVULAS ADMISION Y ESCAPE DETROIT SERIE 60;GUIA VALVULAS ADMISION Y ESCAPE DETROIT SERIE 60;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;2,00;$ 7.526,00
ASH-48X74;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;8,00;#N/D
2203G2789;0;SHIMS AJUSTE 31-310;SHIMS AJUSTE 31-310;MERITOR;MERITOR;MERITOR;DIFERENCIAL;40,00;$ 2.918,00
ZF1318802;0;FILTRO MALLA DE LA BOMBA DE ACEITE 16S QUE VA EN LA CARCASA PRINCIPAL;FILTRO MALLA DE LA BOMBA DE ACEITE 16S QUE VA EN LA CARCASA PRINCIPAL;ZF;ZF;ZF;TRANSMISION;1,00;$ 19.755,00
71;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;2,00;#N/D
3315659;0;EMPAQUE TAPA PROPULSOR 6305;EMPAQUE TAPA PROPULSOR 6305;FULLER;FULLER;FULLER;TRANSMISION;6,00;$ 3.899,00
8870343;0;HINO ARANDELA PIÑON LOCO REVER ES1110;HINO ARANDELA PIÑON LOCO REVER ES1110;FULLER;FULLER;FULLER;TRANSMISION;5,00;$ 4.740,00
201044;0;PIN PASADOR HORQUILLA 2 Y 3A FS4205;PIN PASADOR HORQUILLA 2 Y 3A FS4205;FULLER;FULLER;FULLER;TRANSMISION;15,00;$ 1.253,00
ZF0063258;0;TAPA SEGURO PARA MEDIA LUNAS BIPARTIDO TRAXON;TAPA SEGURO PARA MEDIA LUNAS BIPARTIDO TRAXON;ZF;ZF;ZF;TRANSMISION;1,00;$ 17.236,00
22826;0;EMPAQUE PISTON MONO 16918;EMPAQUE PISTON MONO 16918;FULLER;FULLER;FULLER;TRANSMISION;9,00;$ 2.423,00
85013;0;PIN PASADOR DE ESCUALIZACION;PIN PASADOR DE ESCUALIZACION;SPICER;DANA;DANA;DIFERENCIAL;10,00;$ 2.857,00
235621;0;TAPON LATERAL TAPA DE HORQUILLAS FS4205;TAPON LATERAL TAPA DE HORQUILLAS FS4205;FULLER;FULLER;FULLER;TRANSMISION;1,00;$ 31.404,00
3364117;0;PIN PIÑON DE 4TA;PIN PIÑON DE 4TA;FULLER;FULLER;FULLER;TRANSMISION;6,00;$ 3.372,00
3316295;0;ARANDELA RETENEDOR FSB5406B;ARANDELA RETENEDOR FSB5406B;FULLER;FULLER;FULLER;TRANSMISION;11,00;$ 10.328,00
41X1637;0;TORNILLO CABEZA BRISTOL;TORNILLO CABEZA BRISTOL;MERITOR;MERITOR;MERITOR;DIFERENCIAL;4,00;$ 0,00
51238;0;RESORTE EJE SALIDA DIFERENCIAL DS / DP 38 / 44 / 46 LBS;RESORTE EJE SALIDA DIFERENCIAL DS / DP 38 / 44 / 46 LBS;SPICER;DANA;DANA;DIFERENCIAL;6,00;$ 1.854,00
14765;0;ORING TAPON DEL 20823 (TAPON BOMBA ACEITE);ORING TAPON DEL 20823 (TAPON BOMBA ACEITE);FULLER;FULLER;FULLER;TRANSMISION;4,00;$ 3.582,00
1809938/421204PAI;1809938C91-MCBEE;CAUCHO PARA CAMISA DT360 JUEGO X3 (CAMISA 400006) (KIT);CAUCHO PARA CAMISA DT360 JUEGO X3 (CAMISA 400006) (KIT);PAI;PAI;PAI;MOTOR;1,00;$ 12.270,00
238370;0;GRAPA DE ELEVACION FS4205A;GRAPA DE ELEVACION FS4205A;FULLER;FULLER;FULLER;TRANSMISION;3,00;$ 7.377,00
122-1242SBI/8929072;23523930;GORRO (SELLO) VALVULAS ADMISION Y ESCAPE DETROIT SERIE 60 SIN CAPUCHON COLOR ROJO;GORRO (SELLO) VALVULAS ADMISION Y ESCAPE DETROIT SERIE 60 SIN CAPUCHON COLOR ROJO;SBI;REPARACION CULATA;SBI;MOTOR;2,00;$ 5.057,00
40X1182;0;TUERCA TUERCA CORONA 160;TUERCA TUERCA CORONA 160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;6,00;$ 0,00
3363403;0;FIBRA HORQUILLA DE 5TA Y 6TA;FIBRA HORQUILLA DE 5TA Y 6TA;FULLER;FULLER;FULLER;TRANSMISION;20,00;$ 2.002,00
EHC-803ELG/127554;0;CUÑA VALVULA ADMISION Y ESCAPE CUMMINS NH855;CUÑA VALVULA ADMISION Y ESCAPE CUMMINS NH855;ELGIN;REPARACION CULATA;ELGIN;MOTOR;6,00;$ 1.745,00
41X1094;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;8,00;#N/D
5559348;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;2,00;#N/D
14142;0;KIT ORING SENSOR VELOCIMETRO K3455 - K4151 - K4149 - K3938 16918B Y FO-16E318B-MX AUTOMATIZADA;KIT ORING SENSOR VELOCIMETRO K3455 - K4151 - K4149 - K3938 16918B Y FO-16E318B-MX AUTOMATIZADA;FULLER;FULLER;FULLER;TRANSMISION;4,00;$ 3.793,00
5568529;0;O RING;O RING;FULLER;FULLER;FULLER;TRANSMISION;1,00;$ 0,00
21457;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;2,00;#N/D
FOS-4686;#N/D;0;#N/D;PAI;PAI;PAI;MOTOR;1,00;#N/D
X-8-270;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;4,00;#N/D
140-7994SBI/3006456;3050369;GUIA VALVULAS ADMISION Y ESCAPE CUMMINS NH855 24 GUIAS POR MOTOR;GUIA VALVULAS ADMISION Y ESCAPE CUMMINS NH855 24 GUIAS POR MOTOR;SBI;REPARACION CULATA;SBI;MOTOR;1,00;FL
2203H2790;0;SHIMS AJUSTE 31-310;SHIMS AJUSTE 31-310;MERITOR;MERITOR;MERITOR;DIFERENCIAL;21,00;$ 3.350,00
X 8 261;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;2,00;#N/D
1JM3528;0;PIN ACOPLE HORQUILLA REVERSA Y 1A FS4205;PIN ACOPLE HORQUILLA REVERSA Y 1A FS4205;FULLER;FULLER;FULLER;TRANSMISION;13,00;$ 1.119,00
86781WAP;0;ARANDELA SATELITE ESCUALIZACIÓN , 46 LBS PLANA;ARANDELA SATELITE ESCUALIZACIÓN , 46 LBS PLANA;WAP;WAP;WAP;RODAMIENTO;1,00;$ 4.642,00
4306402;0;BUJE PROTECTOR TAPA RETENEDORA TRASERA;BUJE PROTECTOR TAPA RETENEDORA TRASERA;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 5.164,00
3001988;0;EMPAQUETADURA CAJA FS4205A CONTIENE = 15900, 235622,240038,240321,4301958 (1 c/u) y 201400 (2);EMPAQUETADURA CAJA FS4205A CONTIENE = 15900, 235622,240038,240321,4301958 (1 c/u) y 201400 (2);FULLER;FULLER;FULLER;TRANSMISION;3,00;$ 34.568,00
62504 NP;#N/D;PIN FRENO CUÑA EJE CORREDIZO 14715;#N/D;FULLER;FULLER;FULLER;TRANSMISION;6,00;#N/D
34-04644QC/1824644C1;0;CUÑA VALVULAS ADMISION Y ESCAPE DTE466 E ISX;CUÑA VALVULAS ADMISION Y ESCAPE DTE466 E ISX;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;4,00;$ 1.119,00
1199R2176;85134;PIN TUERCA LATERAL S240;PIN TUERCA LATERAL S240;MERITOR;MERITOR;MERITOR;DIFERENCIAL;6,00;$ 2.703,00
X8881424;0;HINO PIN DE OJOS TREN FIJO PARTE TRASERA;HINO PIN DE OJOS TREN FIJO PARTE TRASERA;FULLER;FULLER;FULLER;TRANSMISION;7,00;$ 2.844,00
277C88;0;RESORTE PRENSA NEGRO;RESORTE PRENSA NEGRO;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;1,00;$ 5.351,00
4910;0;PIN TUERCA FANT CLUTH;PIN TUERCA FANT CLUTH;HORTON;HORTON;HORTON;AIRE;312,00;$ 5.484,00
55519;0;MANGUERA CAJA;MANGUERA CAJA;FULLER;FULLER;FULLER;TRANSMISION;1,00;$ 7.484,00
239614;0;TORNILLO PIN SOBRE TAPA FS4205;TORNILLO PIN SOBRE TAPA FS4205;FULLER;FULLER;FULLER;TRANSMISION;3,00;$ 1.266,00
110-30-5-7300CM;#N/D;0;#N/D;SPICER;DANA;DANA;DIFERENCIAL;1,00;#N/D
21736;0;PIN DE OJOS SEGURO PASADOR HORQUILLA REVERSO FSB5406B;PIN DE OJOS SEGURO PASADOR HORQUILLA REVERSO FSB5406B;FULLER;FULLER;FULLER;TRANSMISION;2,00;$ 1.715,00
4301484;0;PIÑON REVERZA CORREDIZO FS-6306A;PIÑON REVERZA CORREDIZO FS-6306A;FULLER;FULLER;FULLER;TRANSMISION;1,00;$ 533.771,00
34-803QC/127554;0;CUÑA VALVULA ADMISION Y ESCAPE CUMMINS NH855;CUÑA VALVULA ADMISION Y ESCAPE CUMMINS NH855;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;1,00;$ 1.207,00
